"Pipedrive Name", "Capsule Name"
"A J Rose Carpets & Flooring", "A J Rose Carpets & Flooring"
"Flooring America", "A&M Flooring America/A&M Carpet"
"Rug and Home", "Rug and Home (Gaffney)"
"The Carpet Shoppe Inc", "The Carpet Shoppe Inc"
"Atiyeh Brothers", "Atiyeh Brothers"
"Abbey Capitol Floors & Interiors", "Abbey Capitol Floors & Interiors"
"Abbey Carpet and Floor Gallery", "Abbey Carpet and Floor Gallery  / Bradshaw Carpet Gallery"
"Abbey Carpet Flooring & Design Center", "Abbey Carpet Flooring & Design Center"
"Abbey Carpet Of Naples LLC ST1220", "Abbey Carpet Of Naples LLC ST1220"
"Abbey Carpets of San Francisco", "Abbey Carpets of San Francisco"
"Abbey Carpets Unlimited", "Abbey Carpets Unlimited"
"Carpet Man of York", "Carpet Man of York"
"ABC Carpet & Home", "ABC Carpet & Home - 102036"
"About Floors N More", "About Floors & More"
"Absolute Floor Design", "Absolute Floor Designs LLC"
"Ace Flooring", "Ace Flooring Systems Inc"
"Affordable Floors", "Affordable Floors"
"Aggieland Carpet One", "Aggieland Carpet One"
"Air Base Carpet Mart Inc", "Airbase Carpet Mart Inc"
"A J Rose Carpets & Flooring", "A J Rose Carpets & Flooring"
"Floor Master Carpet One", "Floor Master Carpet One"
"Aladdin Carpet and Floors", "Aladdin Carpet and Floors"
"Hunter Douglas Inc", "Hunter Douglas Inc"
"Albrite Carpets Inc", "Albrite Carpets Inc"
"Alexandria Carpet One Floor & Home / Commercial Carpets", "Alexandria Carpet One Floor & Home / Commercial Carpets"
"ALFORDS HOUSE OF CPTS", "ALFORDS HOUSE OF CPTS"
"Michigan Tile and Carpet", "Michigan Tile and Carpet"
"All About Flooring of SC", "All About Flooring of SC"
"Star Lumber", "Star Lumber"
"Allied Floor Covering", "Allied Floor Covering"
"Alpine Carpet One", "Alpine Carpet One"
"Flooring America", "Alpine Flooring America"
"Ambassador Floor Company", "Ambassador Floor Company"
"America's Carpet", "America's Carpet Outlet"
"American Carpet One The Carpet Shoppe Inc.", "American Carpet One The Carpet Shoppe Inc."
"American Custom Rug", "American Custom Rug"
"American Rug Company", "American Rug Company"
"Amore Floor Covering", "Amore Floor Covering"
"Bloomington Carpet & Floor", "Bloomington Carpet & Floor"
"Ayoub Carpet Service", "Ayoub Carpet Service"
"Anderson Furniture", "Anderson Furniture"
"Andersons Carpet One", "Andersons Carpet One"
"World of Carpet One Floor & Home", "World of Carpet One Floor & Home"
"CCA Global Partners, Inc.", "CCA Global Partners, Inc."
"Call for Carpet", "Call for Carpet"
"Carpet Country", "Carpet Country"
"Carpet Gallery", "Angelo's Carpet Gallery"
"Carpet Gallery", "Angelo's Carpet Gallery"
"Carpet One", "Angelo's Carpet One"
"Floors Of Distinction", "Floors Of Distinction"
"Apelian Carpets", "Apelian Carpets"
"Archer Floorcovering", "Archer Floorcovering"
"Armstrong Carpets", "Armstrong Carpets"
"Armstrong World Industries, Inc.", "Armstrong World Industries"
"Arnold's Carpet Max", "Arnold's Carpet Max"
"Flooring America", "Arnolds flooring america"
"ASK Contract Flooring / Flooring America", "ASK Contract Flooring / Flooring America"
"Atiyeh Brothers", "Atiyeh Brothers"
"Austin Fine Floors", "Austin Fine Floors"
"Avalanche Floor Coverings Inc", "Avalanche Floor Coverings Inc"
"AW Rugs & Carpet", "AW Rugs & Carpet"
"Ayoub Carpet Service", "Ayoub Carpet Service"
"B & B Flooring", "B & B Flooring - Carpet One"
"Bailey's Carpet One Floor and Home", "Bailey`s Carpet One Floor and Home"
"Baker Brothers", "Baker Brothers"
"Barb - Lin Carpet One", "Barb - Lin Carpet One"
"Powers Carpet One", "Powers Carpet One"
"Barnard's Carpet One", "Barnard's Carpet One"
"Barnetts Crenshaw Carpet", "Barnetts Crenshaw Carpet"
"Barrington Capet & Flooring Design", "Barrington Carpet & Flooring Design"
"Barry Carpet", "Barry Carpet"
"Legacy Floor Covering", "Legacy Floor Covering"
"Viking Range Corporation", "Viking Range Corporation"
"Carpet One", "Bastian Carpet One"
"Carpet One", "Benjaman's Carpet One"
"Bell's Carpets & Floors", "Bell's Carpets & Floors"
"Carpet One", "Benjaman's Carpet One"
"Yates Flooring Center", "Yates Flooring Center"
"Hallmark Floor Company Inc", "Hallmark Floor Company Inc"
"Anderson Furniture", "Anderson Furniture"
"Mohawk", "Mohawk Home"
"Flooring Innovations", "Flooring Innovations"
"Suburban Floor Covering Abbey Carpet", "Suburban Floor Covering Abbey Carpet"
"Bill's Carpet Fair Inc", "Bill's Carpet Fair"
"Bixby Plaza Carpets Plus", "Bixby Plaza Carpets Plus"
"Abbey Capitol Floors & Interiors", "Abbey Capitol Floors & Interiors"
"Bloomington Carpet & Floor", "Bloomington Carpet & Floor"
"ABC Carpet & Home", "ABC Carpet & Home"
"Phillips Floor to Ceilings", "Phillips Floor to Ceilings"
"Coles Fine Flooring", "Coles Fine Flooring"
"Viking Range Corporation", "Viking Range Corporation"
"Viking Range Corporation", "Viking Range Corporation"
