id,Name,Email,State
1675,2ND CENTURY RUG CO.,,BC
1796,A & A Carpet One,,CA
1499,A & D Carpet and Hardwoods,,GA
1955,A AND M CARPET,,CA
2494,A J Rose Carpets & Flooring,aj@ajrosecarpets.com,Massachusetts
1517,A P T CUSTOM CARPETS LTD,,ON
2491,Abbey Capitol Floors & Interiors,blake@abbeycapitolfloors.com,WA
1326,Abbey Carpet and Floor Gallery,,FL
2368,Abbey Carpet Flooring & Design Center,shiva@abbeyflooring.com,VA
1445,abbey Carpet Missoula,,MT
2369,Abbey Carpet of Grand Junction,jjacobsen@abbeycolo.com,CO
23,Abbey Carpet Of Naples LLC ST1220,,FL
1485,Abbey Carpet of Puyallup,,WA
1470,Abbey Carpet of Stockton,,CA
1205,Abbey Carpets of San Francisco,,CA
2501,Abbey Carpets Unlimited,Abbeynap@pacbell.net,CA
1411,Abbey of Gig Harbor,,WA
1266,ABC Carpet & Home,,FL
1605,About Floors N More,,FL
1636,Absolute Floor Design,,CT
1453,AC Ramirez,,CA
1619,Ace Flooring,,FL
1746,Aesthetics Inc,,SC
1816,Affordable Floors,,NY
2513,Aggieland Carpet One,csmith@aggielandcarpetone.com,TX
6,Air Base Carpet Mart Inc,,DE
1340,Airam Carpet,,NJ
1813,Ajami Floorings & Granite Inc.,,FL
1615,Aladdin Carpet and Floors,,MD
1456,Albrite Carpets Inc,,MA
1249,Aldens,,CA
2366,Alexandria Carpet One Floor & Home / Commercial Carpets,cmoline@carpetcca.com,VA
1795,ALFORDS HOUSE OF CPTS,,AR
2450,All About Flooring of SC,lewgrass@att.net,SC
1687,Allen carpet,,NY
1677,Allen Interiors,,MO
1541,Allied Floor Covering,,RI
1747,Alpha Rug Expo,,GA
1379,Alpine Carpet One,,CA
1274,Ambassador Floor Company,,MO
1312,America's Carpet,,PA
1423,America's Carpet Gallery of Pinehurst,,NC
2353,American Carpet One The Carpet Shoppe Inc.,david.arita@tcs-hawaii.com,HI
1715,American Custom Rug,,FL
1384,American Flooring,,FL
2370,American Rug Company,american.rug@verizon.net,MA
2364,Americarpet Inc,americarpet@aol.com,FL
1650,Amore Floor Covering,,CT
1622,Anderson Carpet,,CA
1367,Anderson Carpet & Home,,ON
1297,Anderson Furniture,,SD
1389,Anderson's Carpet One,,DE
1572,Andersons Carpet One,,MS
1667,Angelos Carpet,,PA
2461,Apelian Carpets,info@apeliancarpets.com,IL
1252,Archer Floorcovering,,TX
1328,Armstrong Carpets,,CA
65,"Armstrong World Industries, Inc.",,PA
2371,Arnold's Carpet Max,steve.arnold@alltel.net,AR
1579,Arrow Floor Carpet One,,MA
2367,ASK Contract Flooring / Flooring America,rufusashby@aol.com,FL
2372,Atiyeh Brothers,,OR
2448,Atlanta Flooring Design Center,michael@atlantaflooringdesign.com,
1817,Atlas Flooring,,NV
1484,Auburn Carpet One Floor & Home,,CA
1452,Austin Fine Floors,,TX
1459,Avalanche Floor Coverings Inc,,CO
1408,AW Rugs & Carpet,,CA
1561,Axminstor Rug Co,,PA
2373,Ayoub Carpet Service,john@rugcare.com,VA
1652,B & B Flooring,,NY
1563,B&B Carpet One,,MN
1316,Bailey's Carpet One Floor and Home,,IL
12,Baker Brothers,,AZ
1689,Baker Interiors Inc,,CO
1500,Baldwin Flooring America,,NE
1181,Barb - Lin Carpet One,,PA
1633,Barnard's Carpet One,,FL
1364,Barnes Drapery & Floor Covering,,FL
1434,Barnetts Crenshaw Carpet,,CA
1223,Barrington Capet & Flooring Design,,OH
1612,Barry Carpet,,CA
1643,Bay Carpet,,NY
2500,Bay State Rug,,MA
1699,Beckmanns Furniture,,OH
2497,Bell's Carpets & Floors,fgaines@bellscarpet.com,NC
1823,Bells of Whitehall,,MI
1305,Benjamin's Carpet One,,WA
1763,Benson & Babb Interiors Inc,,NC
1819,Benson's Floor Covering & Decorating,,OR
1211,Best Flooring Center,,FL
1620,Better Floors Inc,,VA
1805,BiCity Decor,,AL
4,Bill's Carpet Fair Inc,,MD
1679,Bishop-Parker Furniture Co.,,AL
2374,Bixby Plaza Carpets Plus,tony@bixbycarpets.com,CA
1473,BLODGETT'S FLOOR COVERING,,CA
2465,Bloomington Carpet & Floor,amyb@blcflooring.com,MN
2484,Bockrath Carpet & Rugs,ssterling@bockrathcarpet.com,OH
9,Bode Floors,,ML
2355,"Bode Floors, Div. CB Flooring",carolking@cbflooring.com,MD
1705,Bonomo's Decorators,,PA
2375,Boro Rug & Carpet,joseph@bororug.com,NY
1457,Botimer & Associates,,AK
1602,Boucher Interiors dba Westwwod Carpets,,CA
1522,Boyles Floor & Window,,PA
1375,Bradford Carpet One,,MA
2478,Braintree Rug Co,twatts@braintreerug.com,MA
1786,Brent's Carpet One,,CA
41,Brentwood Carpets Inc,,NC
15,Brewer Carpet & Design Center,,OK
1319,Bridgeport Carpets,,GA
1547,Bridgman's Furniture Inc,,NH
1906,Bridgman's Furniture Inc,,
27,Britts Carpet One,,GA
1697,Broadway Carpet,,NY
1501,BROONER FLOOR CENTER,,OK
2506,Brumbaugh's Fine Home Furnishings,info@brumbaughs.com,TX
1410,Brunswick Floors Inc,,GA
1438,BUCHANAN JOHN CARPET CO INC,,NY
1488,Budget Carpet Outlet,,GA
1374,BUDGET INTERIORS,,OH
1381,Builder`s Floor Service,,FL
1664,Burgess Carpet Center,,GA
1420,Burkholder's Floor Covering Inc,,NY
1618,Burnell's Decor,,WI
2362,Burritt Brothers Carpets,Rhonda.Trenholm@edelman.com,British Columbia Canada
1431,Busenbark Carpetmax,,MO
1521,Butler Floors & Carpet Co,,PA
1419,C & P CARPETS & ENT INC,,AR
1383,C G Coe & Son,,MD
1645,C. C. CARPET,,TX
1441,C. Markarian & Sons Inc,,NY
32,California Carpet,,CA
1308,California Design Inc,,FL
1642,Call for Carpet,,NY
2376,CAP Carpet,,MN
1707,"Capitol Carpet & Furniture, Inc.",,WA
1507,Capitol Carpet Co.,,CA
1404,Cappy's Carpet,,NY
1465,Carbone's Carpets,,NY
1296,Carillon Carpet & Rugs LLC,,FL
1362,Carlson's Floors,,IL
1700,Carolina Carpets,,VA
2377,Carousel Carpet and Floors Inc,BSCHAECHTER@YAHOO.COM,MD
1668,Carousel Custom Floors,,CA
1357,Carpet Club,,CA
1255,Carpet Collection,,NY
1956,CARPET COLLECTION THE,,
1443,Carpet Concepts Inc,,FL
2379,Carpet Corner,carpetdeim@hotmail.com,KS
1342,Carpet Country,,CA
1584,Carpet Cowboys,,WY
1198,Carpet Crafter's,,IL
24,Carpet Den Interiors,,TN
1373,Carpet Depot,,CA
1458,Carpet Designers,,NC
